% group, behavior, feature, sample size, z-score
F_Mated, not Jump, timestamps, 1857,      224
F_Singles, not Aggregation, timestamps, 3228,      143
F_Grouped, not Jump, timestamps, 4442,      115
F_Singles, not Jump, timestamps, 9344,     64.9
F_Grouped, not Aggregation, timestamps, 8191,     45.5
F_Grouped, not Jump, y, 4442,     40.2
F_Grouped, not Jump, x, 4442,     39.7
F_Grouped, not Jump, arena_angle, 4442,     35.8
F_Grouped, Jump, dtheta, 4552,     35.2
F_Grouped, Jump, absdtheta, 4552,     34.4
F_Grouped, Jump, dangle2wall, 4552,     34.4
F_Mated, not Jump, x, 1857,     32.5
F_Mated, not Jump, y, 1857,     31.9
F_Singles, not Jump, x, 9344,     30.9
F_Mated, Jump, b, 1955,     30.6
F_Mated, not Jump, angle2wall, 1857,     30.1
F_Mated, not Jump, a, 1857,     30.1
F_Grouped, not Jump, angle2wall, 4442,     29.9
F_Singles, not Jump, y, 9344,     29.6
F_Mated, not Aggregation, timestamps, 9939,     29.6
F_Mated, Jump, a, 1955,     29.5
F_Singles, not Jump, arena_angle, 9344,     28.1
F_Mated, not Jump, nflies_close, 1857,     27.4
F_Mated, not Jump, b, 1857,     27.1
F_Singles, Jump, dtheta, 9444,     27.1
F_Mated, Jump, absdv_cor, 1955,       27
F_Singles, Jump, dangle2wall, 9444,     26.8
F_Grouped, not Jump, closestfly_nose2tail, 4442,     26.7
F_Grouped, not Jump, closestfly_ell2nose, 4442,     26.6
F_Singles, Jump, absdtheta, 9444,     26.5
F_Mated, not Jump, arena_angle, 1857,     26.4
F_Grouped, not Jump, closestfly_nose2ell, 4442,     26.3
F_Mated, not Jump, closestfly_ell2nose, 1857,     26.2
F_Grouped, not Jump, closestfly_center, 4442,       26
F_Mated, not Jump, closestfly_nose2ell, 1857,     25.9
F_Mated, not Jump, closestfly_nose2tail, 1857,     25.8
F_Grouped, not Touch, timestamps, 15318,     25.5
F_Grouped, not Jump, closestfly_nose2ell_angle_30tomin30, 4442,     25.3
F_Mated, not Jump, closestfly_center, 1857,     25.3
F_Singles, not Jump, angle2wall, 9344,     25.1
F_Grouped, not Jump, y_mm, 4442,     24.8
F_Grouped, not Jump, ynose_mm, 4442,     24.5
F_Grouped, not Jump, closestfly_nose2ell_angle_min20to20, 4442,     24.4
F_Mated, Jump, dv_cor, 1955,     24.3
F_Grouped, Jump, du_ctr, 4552,     24.2
F_Mated, Jump, dtheta, 1955,     24.2
F_Grouped, not Jump, closestfly_nose2ell_angle_min30to30, 4442,     24.1
F_Grouped, not Jump, x_mm, 4442,       24
F_Mated, Jump, dangle2wall, 1955,     23.9
F_Mated, not Jump, closestfly_nose2ell_angle_30tomin30, 1857,     23.8
F_Grouped, Jump, du_tail, 4552,     23.8
F_Mated, Jump, velmag_ctr, 1955,     23.8
F_Grouped, not Jump, xnose_mm, 4442,     23.7
F_Mated, Jump, velmag_tail, 1955,     23.2
F_Mated, not Jump, closestfly_nose2ell_angle_min20to20, 1857,     23.1
F_Grouped, Jump, velmag_ctr, 4552,     23.1
F_Mated, not Jump, closestfly_nose2ell_angle_min30to30, 1857,     23.1
F_Grouped, Jump, velmag_tail, 4552,     22.7
F_Singles, not Jump, closestfly_nose2tail, 9344,     22.5
F_Grouped, not Jump, theta, 4442,     22.4
F_Grouped, not Jump, theta_mm, 4442,     22.4
F_Grouped, Jump, du_cor, 4552,     22.4
F_Singles, not Jump, closestfly_ell2nose, 9344,     22.4
F_Mated, Jump, veltoward_anglesub, 1955,     22.4
F_Mated, Jump, velmag_nose, 1955,     22.3
F_Singles, not Jump, closestfly_nose2ell, 9344,     22.2
F_Singles, not Jump, x_mm, 9344,     22.2
F_Mated, Jump, dv_ctr, 1955,     22.2
F_Singles, not Jump, closestfly_center, 9344,       22
F_Singles, not Jump, xnose_mm, 9344,       22
F_Grouped, Jump, a, 4552,       22
F_Mated, Jump, velmag, 1955,       22
F_Singles, not Jump, y_mm, 9344,     21.8
F_Mated, Jump, du_ctr, 1955,     21.8
F_Mated, Jump, absdtheta, 1955,     21.8
F_Singles, not Jump, ynose_mm, 9344,     21.6
F_Grouped, Jump, ddist2wall, 4552,     21.5
F_Mated, Jump, flipdv_cor, 1955,     21.5
F_Singles, Jump, du_ctr, 9444,     21.4
